point_index,x,y,z,gap_effect,gap_effect_normalized,gap_baseline,homo_effect,homo_effect_normalized,homo_baseline,lumo_effect,lumo_effect_normalized,lumo_baseline
37,12.105836,20.165961,9.927335,0.02596244363414,-0.5106844265021366,0.7277855840285482,-0.2653389019898,0.6131185958075123,1.7785305759749417,-0.23937645835566,0.3392050357470653,2.50631616000349
38,13.984269,22.373776,9.89335,-0.016441353152,-0.6566788395698961,0.7277855840285482,-0.21188324485725,0.8277422423223757,1.7785305759749417,-0.22832459800925,0.46148194442200974,2.50631616000349
39,12.575673,23.413007,9.821822,-0.03009609207023,-0.703691506950004,0.7277855840285482,-0.21981021563353,0.795915575790088,1.7785305759749417,-0.24990630770376,0.22270361546656114,2.50631616000349
40,14.079287,21.323121,9.747486,-0.00531443087225,-0.6183693340396356,0.7277855840285482,-0.21667006202787,0.8085232445311605,1.7785305759749417,-0.22198449290012,0.5316283658496441,2.50631616000349
41,11.349437,20.480803,9.313077,0.00173600868835,-0.5940949797710585,0.7277855840285482,-0.25905163081942,0.6383618934788649,1.7785305759749417,-0.25731562213107,0.14072754671661247,2.50631616000349
42,12.811622,20.113149,9.199138,0.01308421492209,-0.5550236032897833,0.7277855840285482,-0.23562221416049,0.7324306433323524,1.7785305759749417,-0.2225379992384,0.5255044155050443,2.50631616000349
43,13.685187,20.625913,9.111414,-0.0002954555557,-0.6010892220903019,0.7277855840285482,-0.22104452167448,0.7909598558974837,1.7785305759749417,-0.22133997723018,0.5387592362409286,2.50631616000349
44,11.920813,23.317449,9.044848,-0.03052816346269,-0.7051791098093354,0.7277855840285482,-0.2264912140381,0.7690914692901292,1.7785305759749417,-0.25701937750079,0.14400517387319844,2.50631616000349
45,12.048023,20.35466,8.58488,0.00089777387867,-0.5969809854669493,0.7277855840285482,-0.23460826234143,0.736501644391369,1.7785305759749417,-0.23371048846276,0.40189287846615707,2.50631616000349
46,11.254284,21.051334,8.485827,-0.01582395327914,-0.6545531588785916,0.7277855840285482,-0.23843584121197,0.7211339737165599,1.7785305759749417,-0.25425979449111,0.1745369820103848,2.50631616000349
47,12.123572,22.171243,19.016952,-0.0227406311252,-0.6783669774290182,0.7277855840285482,-0.20844533957289,0.8415453795033936,1.7785305759749417,-0.23118597069809,0.42982394332611995,2.50631616000349
48,13.078143,22.250628,18.718951,-0.01531684184968,-0.6528071964621278,0.7277855840285482,-0.20270003730708,0.8646126803048915,1.7785305759749417,-0.21801687915676,0.5755257304695183,2.50631616000349
49,12.545972,21.314658,18.714738,-0.01989075555904,-0.6685549808123928,0.7277855840285482,-0.21369329554261,0.820474916480596,1.7785305759749417,-0.23358405110165,0.4032917714283333,2.50631616000349
50,10.610846,22.342092,18.08522,-0.02619029670076,-0.6902440247491901,0.7277855840285482,-0.22104994688716,0.7909380737514777,1.7785305759749417,-0.24724024358793,0.25220073795949816,2.50631616000349
51,12.241431,20.645473,18.031855,-0.01442006046753,-0.6497196174842973,0.7277855840285482,-0.22676297053896,0.768000371091971,1.7785305759749417,-0.24118303100649,0.31921725883745644,2.50631616000349
52,13.65639,22.534863,17.951526,-0.00908978924926,-0.6313677273946425,0.7277855840285482,-0.20089121385142,0.871875078838179,1.7785305759749417,-0.20998100310069,0.6644340275192928,2.50631616000349
53,11.544876,20.583168,17.286712,-0.00923285621959,-0.6318603007004728,0.7277855840285482,-0.24440539054515,0.6971663243663602,1.7785305759749417,-0.25363824676473,0.1814137368908766,2.50631616000349
54,10.597414,22.939444,17.266302,-0.01352426969244,-0.6466354491231394,0.7277855840285482,-0.22299364529249,0.7831341543563306,1.7785305759749417,-0.23651791498493,0.3708317334911839,2.50631616000349
55,12.741912,20.609847,17.152176,0.00355295873193,-0.5878393004382917,0.7277855840285482,-0.23215432634699,0.7463541599096957,1.7785305759749417,-0.22860136761506,0.458419787395693,2.50631616000349
56,10.703549,21.258085,17.140848,-0.03057960033088,-0.7053562046911761,0.7277855840285482,-0.24255022733997,0.7046147762858388,1.7785305759749417,-0.27312982767084,-0.03423957247806586,2.50631616000349
57,13.591067,22.993019,17.058366,-0.00564670830541,-0.6195133506727337,0.7277855840285482,-0.20379651041756,0.8602103575218567,1.7785305759749417,-0.20944321872297,0.6703840313358576,2.50631616000349
58,12.914748,23.367043,16.392429,-0.00394191854206,-0.6136438342669395,0.7277855840285482,-0.21300104690838,0.8232542841685653,1.7785305759749417,-0.21694296545044,0.5874074267700977,2.50631616000349
59,13.476538,22.333765,16.304891,0.0018303414039,-0.593770196367599,0.7277855840285482,-0.2188643629754,0.7997131597586147,1.7785305759749417,-0.2170340215715,0.5863999890491927,2.50631616000349
60,12.89979,21.097367,16.267349,0.01123539054111,-0.5613890245686337,0.7277855840285482,-0.2370467351247,0.7267112134295921,1.7785305759749417,-0.22581134458358,0.4892883815262814,2.50631616000349
61,9.285088,20.719279,20.228279,-0.08942519966036,-0.9079590229967307,0.7277855840285482,-0.24649700349644,0.6887685303295112,1.7785305759749417,-0.3359222031568,-0.7289694480029267,2.50631616000349
62,8.355871,20.96829,19.955039,-0.07801026761309,-0.8686579124651791,0.7277855840285482,-0.23722340051995,0.7260019045673414,1.7785305759749417,-0.31523366813304,-0.5000731329548965,2.50631616000349
63,10.205674,20.895996,19.871045,-0.07586489552336,-0.8612714904277434,0.7277855840285482,-0.24067378649866,0.7121486575892293,1.7785305759749417,-0.31653868202202,-0.5145117033964945,2.50631616000349
64,7.94344,20.230709,19.366871,-0.07430356409201,-0.8558958947688498,0.7277855840285482,-0.23774665539457,0.7239010442417608,1.7785305759749417,-0.31205021948658,-0.46485170893997874,2.50631616000349
65,8.101513,21.679777,19.272197,-0.05850474054527,-0.8015012380238359,0.7277855840285482,-0.22802879446478,0.7629181073732483,1.7785305759749417,-0.28653353501004,-0.18253713025108198,2.50631616000349
66,10.509388,21.520889,19.120227,-0.04977208352835,-0.7714350828128477,0.7277855840285482,-0.22917154881085,0.7583299661365575,1.7785305759749417,-0.2789436323392,-0.09856304745917577,2.50631616000349
67,10.740138,20.564124,18.882823,-0.05998034383393,-0.8065816754463448,0.7277855840285482,-0.24115838475723,0.7102030029863655,1.7785305759749417,-0.30113872859116,-0.3441278367676196,2.50631616000349
68,7.680169,20.967512,18.702307,-0.06049172007365,-0.8083423214175358,0.7277855840285482,-0.23263743000444,0.7444145061074889,1.7785305759749417,-0.29312915007809,-0.2555104936534719,2.50631616000349
69,8.585988,22.191832,18.550644,-0.04565847057688,-0.7572720937893248,0.7277855840285482,-0.2291554742477,0.7583945052619643,1.7785305759749417,-0.27481394482459,-0.05287251145416216,2.50631616000349
70,7.924208,19.983959,18.385119,-0.06788547198456,-0.8337986850551137,0.7277855840285482,-0.24471404694709,0.6959270736292444,1.7785305759749417,-0.31259951893165,-0.4709291145508665,2.50631616000349
71,9.61504,22.247006,18.361091,-0.03955287428591,-0.7362507934698163,0.7277855840285482,-0.22886556882817,0.7595584710912435,1.7785305759749417,-0.26841844311407,0.01788681358940236,2.50631616000349
72,10.440624,18.620729,16.317857,0.07729146944526,-0.33396084124328695,0.7277855840285482,-0.34837070564176,0.2797471729794023,1.7785305759749417,-0.2710792361965,-0.011551990606934015,2.50631616000349
