point_index,x,y,z,gse_effect,gse_effect_normalized,gse_baseline
39,0.60934,-1.984631,1.358057,-26.84462024402455,0.10328006228645648,-97283.61393540111
40,1.480723,-2.068807,0.842114,-28.96801348433655,0.05021207671834382,-97283.61393540111
41,-0.220545,-2.099552,0.810414,-20.39093186355603,0.2645710729828441,-97283.61393540111
42,0.643021,-2.596939,0.548994,-29.34117353839974,0.04088603574408145,-97283.61393540111
43,1.404924,1.974607,1.147481,-8.50924115575617,0.5615190800856895,-97283.61393540111
44,0.592984,2.062524,0.55965,2.26118125214998,0.8306941956762706,-97283.61393540111
45,1.915063,2.35121,0.365475,5.05402615011553,0.9004931617488177,-97283.61393540111
46,1.117499,2.355907,-0.267849,9.03556314356683,1.0,-97283.61393540111
47,2.325931,1.822782,-0.388413,2.92278036742937,0.8472289249176446,-97283.61393540111
48,-0.292972,1.939779,-0.717925,-11.57522574356699,0.48489378865634825,-97283.61393540111
49,-1.723258,1.458992,-1.298063,-19.21139968984062,0.2940500197853011,-97283.61393540111
50,-2.38616,-1.000597,0.418448,-20.88328532829473,0.25226614233451805,-97283.61393540111
51,-1.792657,-1.705341,0.014315,-19.41298046488373,0.28901209960277985,-97283.61393540111
52,-2.805861,-0.385139,-0.280927,-21.53267210320337,0.23603662471868958,-97283.61393540111
53,-2.575456,-1.339858,-0.518739,-25.35967198469734,0.14039198828269428,-97283.61393540111
54,-1.495576,-1.667876,-0.958285,-18.46338312166336,0.3127444997766322,-97283.61393540111
55,-2.469918,-0.686028,-1.284431,-22.38122053106781,0.21482964578098773,-97283.61393540111
56,-1.15759,0.125615,2.321843,-30.18054442424909,0.019908422548891025,-97283.61393540111
57,-1.70919,0.854597,1.913332,-24.78747652356105,0.1546923354333043,-97283.61393540111
58,1.774774,-1.126678,-1.202338,-30.43377839797176,0.013579582177855487,-97283.61393540111
59,0.136091,-1.395328,-1.728495,-21.04366890792153,0.24825782520916717,-97283.61393540111
60,1.728065,-0.404287,-1.89296,-26.50883536091715,0.1116720204939321,-97283.61393540111
61,1.151407,-1.245712,-2.060741,-28.66279952057812,0.05784000446927662,-97283.61393540111
62,0.159837,-0.5285,-2.252529,-24.09292889364588,0.17205051615129974,-97283.61393540111
