point_index,x,y,z,s1_exe_effect,s1_exe_effect_normalized,s1_exe_baseline,s2_exe_effect,s2_exe_effect_normalized,s2_exe_baseline
31,0.963441,-2.01875,-4.906021,-0.01727723423529337,-0.8454867734265823,2.549446387850332,-0.004731161878770873,-0.5145840895756791,2.9289534382568907
32,2.852331,-1.449555,5.056166,-0.021132283284455156,-0.9674096351815433,2.549446387850332,-0.009856935846546566,-0.8295496262062876,2.9289534382568907
33,1.738914,-2.798466,4.84566,-0.01854518260716187,-0.8855879218385238,2.549446387850332,-0.005662276989628179,-0.571798701924905,2.9289534382568907
34,3.41611,-3.214745,4.56073,-0.021034075622265558,-0.964303641180501,2.549446387850332,-0.008840594946396774,-0.767098109805492,2.9289534382568907
35,2.531553,-4.579436,3.874173,-0.019302038216971518,-0.9095248421491364,2.549446387850332,-0.0054160120090021024,-0.556666356592503,2.9289534382568907
36,3.373158,-5.493564,2.623902,-0.020263706332741105,-0.939939326436599,2.549446387850332,-0.006441659351407836,-0.6196897297699906,2.9289534382568907
37,3.375254,-5.936721,-1.716914,-0.020212030257053204,-0.9383049775731249,2.549446387850332,-0.006045903959934762,-0.5953715858109694,2.9289534382568907
38,2.917153,-5.166056,-3.223934,-0.019716658716747215,-0.9226379613936028,2.549446387850332,-0.005712500229798856,-0.5748847899754379,2.9289534382568907
39,3.367776,-3.816617,-4.268711,-0.02070094520601229,-0.9537677924353206,2.549446387850332,-0.008093328775715669,-0.7211805387354182,2.9289534382568907
40,3.417906,-2.141796,-4.878479,-0.021648464826805824,-0.9837348051147682,2.549446387850332,-0.010073575337263385,-0.8428615619018474,2.9289534382568907
41,4.833041,1.81826,5.094107,-0.01850176548607907,-0.8842147772730279,2.549446387850332,-0.011076768627454658,-0.9045051917177042,2.9289534382568907
42,5.394793,0.179338,4.830359,-0.021533219325028163,-0.9800899587841685,2.549446387850332,-0.01243709612710564,-0.9880937938711604,2.9289534382568907
43,6.532567,1.628059,4.744492,-0.01809827496781402,-0.8714536637176599,2.549446387850332,-0.010871918231639022,-0.8919176653748164,2.9289534382568907
44,4.879904,3.535327,4.730685,-0.015631420039533772,-0.7934349385199471,2.549446387850332,-0.009914905739929925,-0.8331117260360293,2.9289534382568907
45,6.600222,3.343466,4.39989,-0.015720423085359148,-0.7962498199685495,2.549446387850332,-0.00979420432628686,-0.8256949367356892,2.9289534382568907
46,7.332865,0.210908,4.102004,-0.020145325587542562,-0.936195322392233,2.549446387850332,-0.011940439876785724,-0.9575755534285683,2.9289534382568907
47,7.907533,2.284064,3.88119,-0.016771239985047703,-0.8294837949340202,2.549446387850332,-0.010226604804869144,-0.8522648264015615,2.9289534382568907
