point_index,x,y,z,homo_effect,homo_effect_normalized,homo_baseline
172,-1.516369,3.517235,-0.640268,-0.32666038317388235,0.3675790096805429,-8.485275048487397
173,-3.973793,3.036082,-0.792304,-0.31016777375041826,0.5504643468758661,-8.485275048487397
174,-2.399221,3.952632,-0.952194,-0.29939131956626586,0.6699636575449661,-8.485275048487397
175,-3.197414,3.44268,-1.286319,-0.3034957587509304,0.6244498322301479,-8.485275048487397
176,-1.891135,2.848936,-1.287785,-0.33984371442775707,0.22139001557920168,-8.485275048487397
177,-4.820993,-1.209886,1.520148,-0.3630129252943357,-0.03553166570765065,-8.485275048487397
178,-5.54126,-0.591859,1.196284,-0.3429019750670257,0.1874771874825094,-8.485275048487397
179,-5.610562,-1.730137,1.188117,-0.3305047730220636,0.3249488523996322,-8.485275048487397
180,-4.521122,-2.106921,1.17995,-0.36466472812806305,-0.05384838627441735,-8.485275048487397
181,-6.197027,-1.121559,0.651068,-0.31792500427398984,0.46444498610771046,-8.485275048487397
182,-5.269491,-2.50207,0.6429,-0.3297457734458584,0.33336534307501964,-8.485275048487397
183,-5.63487,0.023305,0.404584,-0.34700034340183716,0.14203068137679442,-8.485275048487397
184,-6.080217,-2.023825,0.233595,-0.31186209402798504,0.5316761534903593,-8.485275048487397
185,-4.631553,-2.701135,-0.116969,-0.34954754520506537,0.11378494725874977,-8.485275048487397
186,-6.203312,-0.588412,-0.200945,-0.32163191913196343,0.4233392789180195,-8.485275048487397
187,-5.527727,-2.445462,-0.511196,-0.3224715623647745,0.4140285366446985,-8.485275048487397
188,-6.18016,-1.502733,-0.618417,-0.3150301569463485,0.4965457359679146,-8.485275048487397
189,-5.755415,-0.707052,-1.097354,-0.3351238515571131,0.2737282290450065,-8.485275048487397
190,-5.424515,-1.79388,-1.263421,-0.33565924157567295,0.2677913283665714,-8.485275048487397
191,0.259046,-3.157947,2.088952,-0.3347426462716925,0.2779553865174682,-8.485275048487397
192,1.147002,-2.961417,1.669565,-0.351531367155121,0.09178649104385661,-8.485275048487397
193,0.473073,-4.037191,1.662536,-0.31643219977982096,0.4809985857396981,-8.485275048487397
194,1.08655,-3.937246,-0.539795,-0.33815857340652844,0.24007642086389902,-8.485275048487397
