point_index,x,y,z,cp_effect,cp_effect_normalized,dm_effect,dm_effect_normalized,ea_effect,ea_effect_normalized,efl_effect,efl_effect_normalized,eng_effect,eng_effect_normalized,gap_effect,gap_effect_normalized,gse_effect,gse_effect_normalized,hard_effect,hard_effect_normalized,homo_effect,homo_effect_normalized,ie_effect,ie_effect_normalized,lumo_effect,lumo_effect_normalized,nfl_effect,nfl_effect_normalized,s1_exe_effect,s1_exe_effect_normalized,s1_osc_effect,s1_osc_effect_normalized,s2_exe_effect,s2_exe_effect_normalized,s2_osc_effect,s2_osc_effect_normalized
10,1.122996,-0.538428,1.148624,-0.030483621845270648,-0.30661060773735105,-0.01878357545416498,-0.14680142315981282,0.029016313414643946,0.34750181383780676,0.02271630385136386,0.33609470016888787,0.030483621845270648,0.30661060773735094,0.04593018396942572,0.12072008509103527,0.6490615198854357,0.18202269349951705,0.0014673084306267015,0.15705127550034592,-0.8665733405194711,-0.19363423757242815,0.03195093027589735,0.22185008273560136,-0.8206431565500459,-0.3776023218041288,-4.107061983635122,-0.3667991832265338,0.02472837056979138,0.08243121348058557,-0.0006586879417812969,0.02748758405179741,0.14001186247743824,0.4863238088156987,0.0008608516160603459,0.30847703551911754
11,0.031934,-1.315289,1.142655,-0.029007007568687015,0.14564815777625206,0.03261397937090793,0.1207970681310695,0.02888230218975707,0.3177063364441637,0.02195883297778449,0.08337870655351454,0.029007007568687015,-0.14564815777625217,-0.02785540842173795,-0.2317150707359792,1.3975970157407573,0.35727240144027705,0.0001247053789299457,-0.2091914499561589,-0.7884103847542914,0.4059260085575047,0.02913171294761696,-0.31883986840956724,-0.8162657931760299,-0.3461650753408433,-4.005148390879496,-0.1180559380891738,-0.04693676840541272,-0.2263076526601835,-0.001430883433611958,-0.41974835335867544,0.07843924828732085,0.1985132246261916,0.0009744771109395254,0.3960417599378574
12,-0.014384,1.52042,1.014133,-0.03120618530572017,-0.5279180025054723,-0.1826571474548,-1.0,0.03173387468527267,0.9517126586622529,0.02397971000923553,0.757606541300907,0.03120618530572017,0.5279180025054724,-0.04145130000377861,-0.2966555287988669,3.160514276700269,0.7700126613445231,-0.0005276893795524984,-0.38715531955870996,-0.835133618314714,0.047528694392054316,0.03067849592616767,-0.022186607692384452,-0.8765849183184925,-0.7793635652833408,-4.273136360890446,-0.7721413796468946,-0.05613226046595354,-0.26592253142794964,-5.312488512225835e-05,0.3782142642399897,-0.023936699783943638,-0.2800255187568119,-0.0004716847725032161,-0.7184331818276404
13,0.883597,1.544105,0.572729,-0.030079749857470972,-0.18291232747257868,-0.12759692662843558,-0.7133320432572342,0.02990348108693297,0.5447508453750696,0.022817082399950922,0.36971757852584086,0.030079749857470972,0.18291232747257857,0.002835892401102491,-0.08511879038508896,2.4393284188990947,0.6011661448460044,0.00017626877053800172,-0.19512570129541407,-0.824688533648434,0.12764922555744107,0.030256018628008974,-0.10321236878214812,-0.8218526412473314,-0.38628857087082435,-4.12048695445006,-0.39956587033950264,-0.005675029043977098,-0.04854894308936608,0.0003605323209736819,0.6177939694987264,-0.026481988356309216,-0.2919230319707464,-0.00059251054843898,-0.8115467544791444
14,-0.887639,1.605003,0.524583,-0.029760187493664603,-0.08503647563261307,-0.12509908814051784,-0.700327187031486,0.02975069072539327,0.5107800957825215,0.022611532309472188,0.30113963425770396,0.029760187493664603,0.08503647563261296,-0.004631037270083738,-0.12078440526912726,2.558638387330575,0.629099405510078,9.496768271333167e-06,-0.24061869534364944,-0.8123942185287287,0.22195454611510046,0.029769684261935936,-0.1964851016057082,-0.8170252557988112,-0.3516193663402506,-4.093071924966269,-0.33265327099972375,-0.012532194925743312,-0.07809013493730443,0.00034127473799296093,0.6066404685164499,-0.04227004029173731,-0.3657215625434367,-0.0006291985267673774,-0.8398200985488253
15,0.169493,2.216574,0.318604,-0.027779764167561893,0.5215293844305899,-0.12871768448191578,-0.7191672062667283,0.029364786482219074,0.4249798117890442,0.021526349970594508,-0.0609111621345233,0.027779764167561893,-0.52152938443059,-0.08324264343581067,-0.49627090298474064,3.951952604627877,0.9553069280699114,-0.0015850223146571807,-0.6755804764792737,-0.7228968889367842,0.908456744411217,0.026194741852904713,-0.8821134911222052,-0.806139532372595,-0.27344053103667143,-3.9461493762501583,0.02594454272988722,-0.08990324628741586,-0.411410505358786,-6.697410329655276e-05,0.3701931502369815,-0.17796408235972638,-1.0,-0.0008328017573377036,-0.9967255606074343
16,-1.187402,0.944692,-0.166038,-0.0318581326879368,-0.7275970405161956,-0.012312333248728269,-0.11310926296179535,0.028173652177102326,0.16014815092736856,0.023100303455759377,0.46420898806771405,0.0318581326879368,0.7275970405161956,0.18225085168198962,0.7718525651695407,-0.43428032153315144,-0.07161302900108724,0.003684480510834476,0.7618638032501857,-0.9587170080387803,-0.9004355533154385,0.03554261319877128,0.910689089440408,-0.7764661563567913,-0.06033296936063237,-4.15804898979764,-0.49124453962874315,0.1798180133708147,0.7505691833955244,0.0010204474776411981,1.0,0.15308792192566134,0.5474455974256398,-0.0003702913808899769,-0.6402950456291108
17,1.186533,0.943963,-0.181159,-0.03182934990787345,-0.7187814244234008,-0.010819480516370827,-0.10533680880015406,0.02814970799539651,0.15482450490199184,0.02307848121212769,0.456928404517037,0.03182934990787345,0.7187814244234008,0.18205306959888734,0.7709078636767559,-0.44042078915663296,-0.0730506564263641,0.0036796419124769386,0.7605439034870991,-0.9577901211079869,-0.8933257331849066,0.03550899182035039,0.9042409375815685,-0.7757370515090992,-0.05509670112424825,-4.155163527244268,-0.4842019136174195,0.17974968228640087,0.7502748078898631,0.0010177091079160046,0.9984140060852726,0.15250393074004354,0.544715831173143,-0.00037180432866548165,-0.6414609886700003
18,-0.62196,2.116226,-0.31472,-0.02731611686731128,0.6635357018354326,-0.08602621642603836,-0.4968964682593101,0.028547757605224433,0.24332513730191097,0.02103243102709486,-0.22569798222984394,0.02731611686731128,-0.6635357018354326,-0.06346820012065102,-0.4018187371171211,3.6224317856613197,0.8781583791980874,-0.0012316407379131533,-0.5791830851361759,-0.7191874253986548,0.9369107204687812,0.026084476129398126,-0.9032610514956825,-0.7826556255193052,-0.10478435502668826,-3.878034151585126,0.19219520241438892,-0.06722600831331071,-0.3137152404162028,-1.0114926465375207e-05,0.40312453551377647,-0.1771833815616528,-0.9963507485312061,-0.000836766701965171,-0.9997811185524969
19,0.844949,1.925047,-0.361673,-0.0276543072472748,0.5599544442406936,-0.07446640235929491,-0.436710943590058,0.02839116547551157,0.2085091189809043,0.021143946776636238,-0.18849283754099033,0.0276543072472748,-0.5599544442406936,-0.03794662370031343,-0.27991552442800116,3.144706118022441,0.7663116007980155,-0.0007368582282367697,-0.4442135611036795,-0.7395761639979419,0.7805159550303795,0.02691744901903803,-0.7435074679436956,-0.7775227876982557,-0.06792145975181774,-3.8934822038771273,0.15449072596267577,-0.04089628799290779,-0.2002848038920041,0.000128752925036741,0.48355325388856185,-0.14038398889498893,-0.8243383231937169,-0.0008046265036153587,-0.9750124905763766
