point_index,x,y,z,s1_exe_effect,s1_exe_effect_normalized,s2_exe_effect,s2_exe_effect_normalized,s3_exe_effect,s3_exe_effect_normalized
14,0.909804,2.268301,0.849561,-0.048019390314242294,-0.5060467849967996,-0.06597892244696757,-0.8314275729638027,0.0003115590031654847,-0.4035987885775548
15,3.30332,2.703296,0.348492,0.004320967151854926,0.2502337033894355,-0.05382844408270193,-0.6966991270805626,-0.029091406902423067,-0.7680028321889538
16,0.868728,2.592382,-0.098275,-0.047913299676540344,-0.5045138516509314,-0.056436034022562254,-0.7256129302713381,0.02942504116253364,-0.042782445881132
17,1.379611,2.643156,-0.977485,-0.026536325800918803,-0.19563196727811638,-0.05401154005285269,-0.6987293545964145,-0.01445717365323329,-0.5866342658926011
18,2.498272,2.724791,-1.122132,-0.008080699565247151,0.0710385466179424,-0.055936294909749495,-0.7200716608663124,-0.030899285389126785,-0.7904086749542129
19,1.214876,1.745466,-1.389238,-0.025685604279445773,-0.18333965368134653,-0.06472031386520927,-0.8174717126995427,-0.02616838303553415,-0.7317764963802762
20,1.716748,0.877659,-1.521058,-0.003413804550702615,0.13847182013223214,-0.06679088925507815,-0.840430924345197,-0.03680627551512439,-0.8636166327635646
21,0.953137,0.775225,1.699922,-0.010785435390586073,0.03195706093515871,-0.06102166573812884,-0.7764599023747711,-0.0281015905250821,-0.7557355972612256
22,-0.00459,0.838118,1.406696,-0.053914781220256724,-0.5912309398149309,-0.07981830715996363,-0.9848831603459314,-0.04010554543348599,-0.9045059533537675
23,-0.198831,0.090254,-1.043128,-0.02551892152019075,-0.180931207796035,-0.06990713547144756,-0.8749848733449122,-0.024814887940431962,-0.7150020292313792
24,0.06578,0.970531,-1.441211,-0.05661106311895514,-0.6301902723432851,-0.08118161861174134,-1.0,-0.04181280243981389,-0.9256647493265076
25,0.675506,0.099427,-1.530621,-0.0018570123996335397,0.16096634606452076,-0.0637927482076921,-0.8071865637740907,-0.029166844229780775,-0.7689377605637528
26,0.974153,-0.63725,1.699928,0.004491213658697202,0.2526936428620332,-0.06305432875660433,-0.7989987293471271,-0.03273143711346593,-0.8131153467574096
27,0.128943,-0.180979,1.409136,-0.005161596379738231,0.11321748634368833,-0.062443771580187324,-0.7922286733019721,-0.025268194807259725,-0.7206200629970632
28,1.893532,-0.352994,1.40071,0.007912465141000968,0.3021282640070033,-0.07166114607940521,-0.8944339119908186,-0.04175753085604761,-0.9249797439877294
29,0.472288,-1.45066,1.400617,0.018563349142239005,0.4560258708282596,-0.05561368220479146,-0.716494426533793,-0.01928105521947643,-0.6464187772335941
30,0.992607,-2.050563,-0.926655,0.017874892091586325,0.44607816202940764,-0.05627179444747776,-0.7237917885812517,-0.016421865393489554,-0.6109835651060938
31,0.400689,-1.366507,-1.420327,0.018816966726130868,0.45969046234988453,-0.055620448696631186,-0.7165694555904538,-0.019403041323404313,-0.647930605315103
32,1.40301,-1.290392,-1.503371,0.010056446429727917,0.33310725029267463,-0.06643472616657675,-0.8364816724757487,-0.0351627648403694,-0.8432478734512469
33,2.211978,-1.290331,1.699951,0.009508013055004483,0.3251827828155123,-0.06121832699428609,-0.7786405461826261,-0.03330603491723849,-0.8202365930907651
34,1.412811,-1.817087,1.403074,0.013106318540192063,0.37717570685053126,-0.06040150271837286,-0.7695833336224074,-0.027245372704359117,-0.7451241087098516
35,3.132597,-1.544374,1.401201,-0.00070393307067107,0.17762751232844365,-0.0626200615118635,-0.7941834332552465,-0.03677642386143232,-0.8632466679325062
36,2.390745,-2.234443,1.393805,0.011130281258788344,0.3486233905768523,-0.055043497895302274,-0.7101720379346401,-0.025870319033187705,-0.728082456532092
37,3.224693,-2.368292,0.81709,0.00465732756732784,0.2550938692653071,-0.05610622942707977,-0.7219559499235366,-0.028832010107900707,-0.7647880122579543
38,1.281764,-2.520894,0.699874,0.017346498316380465,0.4384432523398478,-0.05267527265753991,-0.6839123882138882,-0.012552506467255142,-0.5630288776969681
39,3.391,-2.435748,-0.387366,0.003291749670163213,0.23536225165711522,-0.056661160378792985,-0.7281092043432731,-0.02966094581822043,-0.7750613814719417
40,2.696541,-2.461168,-1.119027,0.009538683969326556,0.3256259554491301,-0.0543326070550032,-0.702289449674757,-0.025251530714939463,-0.7204135374838168
41,3.193523,-1.612095,-1.344002,-0.0011295403784443714,0.17147779310285305,-0.0624266441454604,-0.7920387587493474,-0.03665773394763727,-0.8617756910024346
42,2.694555,-0.742852,-1.538082,0.002039511874551536,0.21726831692894022,-0.0676861393783641,-0.8503577481434949,-0.04089766285761298,-0.9143230171592953
43,3.402387,-0.57821,1.699962,-0.005561555810388974,0.107438360479996,-0.06758658142213658,-0.8492538172268905,-0.044747241747687294,-0.9620325617762734
44,4.27242,-0.537384,-1.457462,-0.00693582918640212,0.08758109946184867,-0.06485873319443458,-0.819006551127104,-0.044269542190762845,-0.9561122185451316
45,4.441741,1.734192,1.683212,0.015395000580407547,0.4102455148329496,-0.04433542037203919,-0.5914374005108662,-0.025696488552283903,-0.7259280980109941
46,5.074333,2.470827,1.42603,0.014482245744932065,0.3970568645032795,-0.038946197576466446,-0.5316799498164606,-0.022562728319738046,-0.68709001262481
47,4.073167,2.584165,1.287094,0.010555868504940946,0.34032353977250174,-0.04315010011411813,-0.5782941849570417,-0.02482678785101511,-0.7151495101198391
48,5.061063,0.225122,0.849689,0.007512956896316592,0.29635565745574044,-0.05440409670010515,-0.7030821500518596,-0.03423309625667237,-0.8317260769016923
49,5.884335,2.479399,0.833586,0.015074497306901247,0.4056144732437945,-0.03772509505781141,-0.5181399689473661,-0.021832586241670615,-0.6780410368679789
50,6.324513,1.694987,0.350213,0.015118966966371161,0.4062570278118267,-0.039344686953472596,-0.5360985293040728,-0.022855634473041064,-0.6907201289540608
51,5.913764,0.544861,0.343565,0.011011135440299302,0.3469018192663309,-0.04594184314851235,-0.6092499374017749,-0.0278044450507422,-0.7520529411394599
52,5.631196,3.038601,0.029649,0.012370350381395223,0.36654149673967895,-0.0369375625663424,-0.5094075531957178,-0.021570149089504387,-0.6747885364314479
53,6.164634,2.303962,-0.440243,0.014613768248995296,0.39895727001103976,-0.03752849923468293,-0.5159600506821616,-0.021767947160119316,-0.677239935959715
54,5.249613,2.962356,-0.895624,0.012653951862673374,0.370639333994746,-0.037637129828006266,-0.5171645819421711,-0.021922429555117695,-0.6791545050404308
55,4.26094,2.790391,-1.188008,0.010420951900010689,0.33837409195044277,-0.041223603003246456,-0.5569325600098596,-0.023803341493305208,-0.7024654838768281
56,4.007944,1.807172,-1.560532,0.015771011981180028,0.4156786089037954,-0.047570735349498516,-0.6273116225610702,-0.02725071943455548,-0.7451903731169836
57,4.498708,-1.42867,1.683508,-0.004686976457632497,0.12007540256484628,-0.05315680712737869,-0.689251798631785,-0.034303305124019356,-0.8325962066444118
58,4.432053,-0.459484,1.446174,-0.004729135031198872,0.11946624152449425,-0.06225228152522311,-0.7901053694505533,-0.042024053437891506,-0.9282828769726643
59,5.177056,-2.12319,1.416402,-0.004163747772120807,0.12763568042639473,-0.048031785105901115,-0.6324238918308673,-0.030792787417628364,-0.7890887981916085
60,4.164769,-2.293731,1.278122,-0.0015840420815123046,0.1649105706647711,-0.050363498537552065,-0.6582786868005299,-0.030236466822363806,-0.7821940694384055
